States,bus_2015,bus_2016,bus_2017,loss_2015,loss_2016,loss_2017,pow_2015,pow_2016,pow_2017,rail_2015,rail_2016,rail_2017,high_2015,high_2016,high_2017
Andaman and Nicobar Islands,9.73,0.3,1.25,20.5,14.4,10.7,473.8,473.8,789.6,,,,279.0,266.0,266.0
Andhra Pradesh,70.12,98.78,98.3,17.9,16.2,16.2,1019.8,1098.6,1180.3,3657.0,3703.0,3817.0,6485.0,6485.0,6485.0
Arunachal Pradesh,1.23,0.3,0.0,46.2,50.6,49.4,427.5,515.7,570.7,12.0,12.0,12.0,,,
Assam,14.48,14.29,84.75,27.6,25.2,25.0,265.4,278.9,281.7,2471.0,2443.0,2440.0,2530.0,2530.0,2530.0
Bihar,16.41,75.82,81.91,46.3,42.8,30.3,227.9,242.1,256.3,3652.0,3731.0,3714.0,4426.0,4253.0,4006.0
Chandigarh,10.04,0.3,11.54,19.1,18.7,18.0,1523.7,1559.7,1518.0,16.0,16.0,16.0,,,
Chhattisgarh,62.45,97.32,97.31,29.2,30.8,25.6,991.0,927.9,1011.4,1196.0,1213.0,1216.0,4374.0,4462.0,4438.0
Dadra & Nagar Haveli,0.0,1.79,21.88,10.3,10.1,10.8,,,,,,,,,
Daman & Diu,0.0,14.58,28.69,29.6,31.8,32.8,,,,,,,,,
Delhi,37.35,47.62,31.69,21.5,19.6,19.4,1765.8,1838.4,1898.6,183.0,183.0,183.0,,,
Goa,21.74,18.15,57.34,15.0,18.0,18.0,3511.6,2962.2,2824.3,69.0,69.0,69.0,279.0,279.0,279.0
Gujarat,71.14,98.21,97.99,19.3,19.1,18.2,1714.7,1717.4,1821.2,5259.0,5259.0,5259.0,18017.0,17201.0,17201.0
Haryana,40.66,96.95,98.06,34.0,31.6,33.7,1871.1,1928.5,2002.7,1630.0,1711.0,1710.0,2128.0,1801.0,1801.0
Himachal Pradesh,23.95,65.48,87.9,20.8,18.8,22.4,1277.3,1280.4,1362.9,296.0,296.0,296.0,1466.0,1466.0,827.0
Jammu and Kashmir,5.93,0.3,32.76,,,,1118.6,1131.3,1199.3,298.0,298.0,298.0,131.0,130.0,130.0
Jharkhand,63.09,96.57,98.05,17.2,17.0,16.3,229.3,239.8,235.2,2294.0,2394.0,2455.0,1358.0,1296.0,1339.0
Karnataka,48.5,88.39,96.42,11.5,10.5,13.4,997.4,1088.5,1107.5,3281.0,3281.0,3424.0,19721.0,19578.0,19556.0
Kerala,22.87,26.97,44.82,15.4,11.6,18.1,694.7,726.6,746.3,1050.0,1045.0,1045.0,4341.0,4342.0,4342.0
Lakshadweep,0.0,0.3,0.0,3.6,9.8,7.0,745.0,745.0,745.0,,,,,,
Madhya Pradesh,62.0,97.01,97.3,32.3,28.6,26.8,859.2,905.8,963.2,4979.0,5000.0,5113.0,10934.0,10934.0,11389.0
Maharashtra,49.43,92.86,92.88,20.4,19.9,18.2,1258.0,1239.0,1330.7,5725.0,5745.0,5784.0,40144.0,39000.0,39000.0
Manipur,0.0,1.19,0.27,40.9,44.5,36.5,297.6,271.1,303.8,1.0,1.0,13.0,715.0,715.0,715.0
Meghalaya,4.38,0.3,0.0,33.1,32.3,35.7,581.6,578.3,523.3,0.0,0.0,0.0,751.0,772.0,772.0
Mizoram,6.37,0.89,3.66,42.1,36.1,35.5,417.0,457.4,447.3,2.0,2.0,2.0,214.0,170.0,170.0
Nagaland,3.41,1.49,14.16,26.5,29.9,20.8,372.6,375.1,389.3,13.0,11.0,11.0,767.0,722.0,722.0
Odisha,52.12,92.73,92.08,42.0,39.1,38.2,634.1,637.8,684.3,2529.0,2572.0,2598.0,4109.0,4187.0,4139.0
Puducherry,17.72,1.49,15.65,14.9,14.0,15.6,1951.8,2045.9,2139.1,22.0,22.0,22.0,89.0,89.0,0.0
Punjab,36.73,91.07,54.36,18.5,18.5,17.6,1793.0,1916.6,1978.5,2269.0,2269.0,2269.0,1133.0,1133.0,1103.0
Rajasthan,61.04,96.43,95.7,27.5,29.1,29.7,979.4,982.5,1028.9,5898.0,5893.0,5894.0,10941.0,15188.0,15019.0
Sikkim,7.23,0.6,0.14,25.0,26.5,23.8,656.6,780.0,798.1,,,,701.0,701.0,663.0
Tamil Nadu,44.58,62.8,90.68,11.1,10.8,12.6,1338.9,1448.4,1467.2,4027.0,4027.0,4028.0,11752.0,11752.0,12095.0
Telangana,42.45,98.78,98.28,15.7,16.5,18.7,1415.5,1502.5,1707.1,1676.0,1737.0,1823.0,2744.0,2731.0,2553.0
Tripura,9.29,16.67,22.45,35.9,30.6,30.4,312.2,441.6,695.2,151.0,193.0,203.0,1378.0,329.0,329.0
Uttar Pradesh,47.37,84.52,92.89,27.2,24.5,23.6,466.1,529.6,592.8,8950.0,9077.0,9167.0,7543.0,7147.0,7201.0
Uttarakhand,13.36,96.13,94.24,24.5,25.6,25.4,1252.9,1283.7,1327.1,345.0,340.0,340.0,3736.0,4521.0,4329.0
West Bengal,46.9,84.23,94.59,24.7,22.2,22.4,516.6,523.4,553.6,4070.0,4135.0,4139.0,3697.0,3612.0,3262.0
