States,pow_2015,pow_2016,pow_2017
Andaman and Nicobar Islands,473.8,473.8,789.6
Andhra Pradesh,1019.8,1098.6,1180.3
Arunachal Pradesh,427.5,515.7,570.7
Assam,265.4,278.9,281.7
Bihar,227.9,242.1,256.3
Chandigarh,1523.7,1559.7,1518.0
Chhattisgarh,991.0,927.9,1011.4
Dadra and Nagar Haveli,17281.5,17561.5,17987.3
Daman and Diu,9620.8,9867.8,10431.8
Delhi,1765.8,1838.4,1898.6
Goa,3511.6,2962.2,2824.3
Gujarat,1714.7,1717.4,1821.2
Haryana,1871.1,1928.5,2002.7
Himachal Pradesh,1277.3,1280.4,1362.9
Jammu and Kashmir,1118.6,1131.3,1199.3
Jharkhand,229.3,239.8,235.2
Karnataka,997.4,1088.5,1107.5
Kerala,694.7,726.6,746.3
Lakshadweep,745.0,745.0,745.0
Madhya Pradesh,859.2,905.8,963.2
Maharashtra,1258.0,1239.0,1330.7
Manipur,297.6,271.1,303.8
Meghalaya,581.6,578.3,523.3
Mizoram,417.0,457.4,447.3
Nagaland,372.6,375.1,389.3
Odisha,634.1,637.8,684.3
Puducherry,1951.8,2045.9,2139.1
Punjab,1793.0,1916.6,1978.5
Rajasthan,979.4,982.5,1028.9
Sikkim,656.6,780.0,798.1
Tamil Nadu,1338.9,1448.4,1467.2
Telangana,1415.5,1502.5,1707.1
Tripura,312.2,441.6,695.2
Uttar Pradesh,466.1,529.6,592.8
Uttarakhand,1252.9,1283.7,1327.1
West Bengal,516.6,523.4,553.6
