States,rail_2015,rail_2016,rail_2017
Andhra Pradesh,3657,3703,3817
Arunachal Pradesh,12,12,12
Assam,2471,2443,2440
Bihar,3652,3731,3714
Chandigarh,16,16,16
Chhattisgarh,1196,1213,1216
Delhi,183,183,183
Goa,69,69,69
Gujarat,5259,5259,5259
Haryana,1630,1711,1710
Himachal Pradesh,296,296,296
Jammu and Kashmir,298,298,298
Jharkhand,2294,2394,2455
Karnataka,3281,3281,3424
Kerala,1050,1045,1045
Madhya Pradesh,4979,5000,5113
Maharashtra,5725,5745,5784
Manipur,1,1,13
Meghalaya,0,0,0
Mizoram,2,2,2
Nagaland,13,11,11
Odisha,2529,2572,2598
Puducherry,22,22,22
Punjab,2269,2269,2269
Rajasthan,5898,5893,5894
Tamil Nadu,4027,4027,4028
Telangana,1676,1737,1823
Tripura,151,193,203
Uttar Pradesh,8950,9077,9167
Uttarakhand,345,340,340
West Bengal,4070,4135,4139
