States,high_2015,high_2016,high_2017
Andaman and Nicobar Islands,279,266,266
Andhra Pradesh,6485,6485,6485
Assam,2530,2530,2530
Bihar,4426,4253,4006
Chhattisgarh,4374,4462,4438
Dadra and Nagar Haveli,42,28,30
Goa,279,279,279
Gujarat,18017,17201,17201
Haryana,2128,1801,1801
Himachal Pradesh,1466,1466,827
Jammu and Kashmir,131,130,130
Jharkhand,1358,1296,1339
Karnataka,19721,19578,19556
Kerala,4341,4342,4342
Madhya Pradesh,10934,10934,11389
Maharashtra,40144,39000,39000
Manipur,715,715,715
Meghalaya,751,772,772
Mizoram,214,170,170
Nagaland,767,722,722
Odisha,4109,4187,4139
Puducherry,89,89,0
Punjab,1133,1133,1103
Rajasthan,10941,15188,15019
Sikkim,701,701,663
Tamil Nadu,11752,11752,12095
Telangana,2744,2731,2553
Tripura,1378,329,329
Uttar Pradesh,7543,7147,7201
Uttarakhand,3736,4521,4329
West Bengal,3697,3612,3262
